iter	Passed	Remaining
417	2493	57151
418	2498	57133
419	2504	57121
420	2509	57104
421	2515	57090
422	2521	57088
423	2527	57092
424	2534	57108
425	2541	57110
426	2546	57082
427	2551	57054
428	2557	57047
429	2562	57032
430	2568	57022
431	2574	57016
432	2579	56999
433	2585	56983
434	2590	56969
435	2596	56949
436	2601	56939
437	2607	56923
438	2612	56901
439	2617	56880
440	2623	56871
441	2629	56852
442	2634	56841
443	2640	56835
444	2645	56809
445	2651	56792
446	2656	56777
447	2662	56763
448	2668	56753
449	2672	56724
450	2677	56697
451	2683	56683
452	2689	56678
453	2694	56659
454	2700	56647
455	2705	56635
456	2711	56619
457	2716	56605
458	2722	56601
459	2728	56585
460	2734	56581
461	2739	56550
462	2744	56531
463	2750	56521
464	2755	56509
465	2761	56491
466	2766	56478
467	2772	56468
468	2777	56449
469	2783	56443
470	2789	56427
471	2794	56412
472	2800	56405
473	2806	56392
474	2811	56378
475	2817	56363
476	2822	56349
477	2827	56329
478	2833	56321
479	2839	56306
480	2844	56289
481	2849	56274
482	2855	56263
483	2860	56247
484	2866	56240
485	2872	56228
486	2877	56205
487	2883	56196
488	2888	56184
489	2893	56158
490	2899	56151
491	2904	56136
492	2910	56121
493	2916	56113
494	2921	56097
495	2926	56082
496	2932	56073
497	2938	56062
498	2943	56048
499	2948	56028
500	2954	56013
501	2959	56001
502	2965	55985
503	2970	55964
504	2975	55953
505	2981	55943
506	2987	55931
507	2992	55912
508	2998	55902
509	3003	55889
510	3008	55873
511	3014	55862
512	3019	55848
513	3025	55834
514	3031	55824
515	3036	55812
516	3042	55804
517	3048	55795
518	3053	55785
519	3059	55769
520	3064	55760
521	3070	55749
522	3076	55740
523	3081	55730
524	3087	55718
525	3092	55702
526	3098	55689
527	3103	55674
528	3108	55660
529	3114	55652
530	3120	55639
531	3125	55619
532	3131	55616
533	3137	55614
534	3142	55599
535	3148	55593
536	3153	55577
537	3159	55561
538	3164	55554
539	3170	55542
540	3175	55525
541	3181	55516
542	3186	55499
543	3191	55480
544	3197	55471
545	3202	55458
546	3209	55461
547	3215	55457
548	3220	55442
549	3225	55427
550	3231	55418
551	3236	55401
552	3241	55382
553	3247	55373
554	3253	55361
555	3258	55351
556	3264	55350
557	3270	55347
558	3276	55340
559	3282	55333
560	3287	55319
561	3293	55308
562	3298	55297
563	3304	55285
564	3310	55278
565	3315	55262
566	3320	55246
567	3326	55239
568	3332	55230
569	3338	55227
570	3344	55229
571	3350	55230
572	3357	55231
573	3362	55218
574	3368	55217
575	3375	55224
576	3381	55228
577	3387	55227
578	3394	55235
579	3400	55236
580	3406	55223
581	3413	55234
582	3418	55224
583	3424	55214
584	3430	55207
585	3435	55194
586	3441	55185
587	3447	55175
588	3452	55160
589	3458	55152
590	3463	55142
591	3469	55131
592	3474	55119
593	3480	55113
594	3485	55099
595	3491	55087
596	3496	55075
597	3502	55062
598	3508	55063
599	3515	55074
600	3521	55078
601	3528	55084
602	3533	55071
603	3539	55060
604	3544	55047
605	3550	55035
606	3555	55019
607	3561	55008
608	3566	54995
609	3572	54987
610	3577	54976
611	3582	54958
612	3588	54950
613	3594	54942
614	3599	54927
615	3605	54919
616	3610	54909
617	3615	54893
618	3621	54884
619	3627	54875
620	3632	54862
621	3638	54860
622	3644	54853
623	3649	54841
624	3655	54833
625	3660	54821
626	3666	54811
627	3672	54799
628	3677	54784
629	3682	54771
630	3688	54766
631	3693	54754
632	3699	54744
633	3704	54732
634	3710	54719
635	3715	54710
636	3721	54702
637	3727	54694
638	3731	54671
639	3737	54659
640	3742	54645
641	3748	54637
642	3753	54624
643	3759	54615
644	3765	54609
645	3771	54606
646	3776	54597
647	3782	54583
648	3787	54577
649	3793	54567
650	3798	54554
651	3804	54550
652	3810	54538
653	3815	54523
654	3821	54517
655	3826	54505
656	3831	54492
657	3837	54484
658	3842	54471
659	3848	54460
660	3853	54451
661	3859	54442
662	3864	54421
663	3870	54413
664	3875	54405
665	3881	54396
666	3887	54392
667	3892	54377
668	3897	54366
669	3903	54362
670	3908	54346
671	3914	54332
672	3920	54327
673	3925	54317
674	3931	54310
675	3937	54308
676	3942	54294
677	3948	54288
678	3954	54285
679	3959	54271
680	3964	54258
681	3970	54253
682	3976	54243
683	3981	54233
684	3987	54227
685	3993	54218
686	3998	54206
687	4004	54203
688	4010	54191
689	4015	54184
690	4021	54176
691	4027	54168
692	4032	54162
693	4038	54151
694	4043	54140
695	4049	54134
696	4055	54126
697	4060	54116
698	4066	54109
699	4071	54097
700	4077	54088
701	4083	54083
702	4089	54076
703	4094	54062
704	4100	54057
705	4106	54053
706	4111	54045
707	4117	54037
708	4123	54038
709	4129	54032
710	4135	54029
711	4141	54021
712	4146	54014
713	4152	54005
714	4157	53995
715	4163	53987
716	4169	53986
717	4175	53977
718	4180	53965
719	4186	53959
720	4191	53949
721	4197	53944
722	4203	53937
723	4209	53928
724	4215	53923
725	4220	53916
726	4226	53904
727	4231	53899
728	4237	53888
729	4242	53876
730	4248	53872
731	4254	53862
732	4259	53853
733	4265	53846
734	4270	53834
735	4276	53822
736	4282	53819
737	4288	53815
738	4293	53810
739	4300	53809
740	4305	53802
741	4311	53792
742	4317	53786
743	4322	53774
744	4328	53766
745	4333	53758
746	4339	53749
747	4344	53741
748	4350	53733
749	4356	53725
750	4361	53718
751	4367	53707
752	4373	53702
753	4379	53698
754	4384	53688
755	4390	53680
756	4395	53672
757	4401	53661
758	4406	53652
759	4412	53646
